Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2023-01-02,51925.3359375,52486.69092060811,51644.65844594595,51925.3359375,10031448
2023-01-03,51831.78515625,52393.1402301444,50989.752545408395,51831.78515625,13547030
2023-01-04,54077.203125,54264.32147491349,52018.90127595155,52112.46045090831,20188071
2023-01-05,54451.43359375,55012.78857925258,53890.07860824742,54451.43359375,15682826
2023-01-06,55199.90625,55574.14290254237,54170.75545550847,54544.99210805084,17334989
2023-01-09,56790.41015625,56790.41015625,55761.25939559308,55854.818555652804,18640107
2023-01-10,56509.73828125,57164.65246662873,56041.94243455091,56322.61994257037,14859797
2023-01-11,56603.30078125,57258.21500516529,56416.18243155992,57071.09665547521,12310751
2023-01-12,56603.30078125,57258.21500516529,56041.94573217975,57164.65583032025,16102561
2023-01-13,56883.97265625,57258.20931846217,56509.73599403783,56603.295159590874,12510328
2023-01-16,57164.64453125,57632.44031301146,56883.96706219313,57351.76284395459,10039972
2023-01-17,57071.10546875,57538.901415215165,56696.86871157787,57258.22384733606,9831456
2023-01-18,56509.73828125,57071.093297288906,56041.94243455091,56790.41578926946,11584041
2023-01-19,57538.88671875,57538.88671875,56509.73589939024,56603.29506478658,12808490
2023-01-20,57819.56640625,58287.36225096076,57164.652223654935,58100.243913076454,9646327
2023-01-25,59222.95703125,59597.19372655016,58942.27950977488,59410.07537890008,39217
2023-01-26,59690.74609375,59784.305256906344,59222.95027796826,59690.74609375,54188
2023-01-27,60439.22265625,60813.45932904411,59784.308478860294,60252.10431985294,44282
2023-01-30,59222.95703125,60719.90381245063,59035.838683599926,60719.90381245063,59628
2023-01-31,57445.328125,59597.188950529315,57071.09145969056,59410.0706178746,163847
2023-02-01,57071.10546875,58661.61168673156,57071.10546875,58568.052497438526,98585
2023-02-02,59410.07421875,59784.310906742125,58568.04167076772,59129.396702755905,65992
2023-02-03,59410.07421875,59877.87007874016,58942.278358759846,59784.310906742125,47567
2023-02-06,57632.4609375,58942.289595170456,57632.4609375,58755.171215503244,144104
2023-02-07,58006.6875,58474.483366935485,57632.45080645161,57913.1283266129,32873
2023-02-08,59035.8359375,59222.954276446115,58380.92175118859,58755.158429080824,42558
2023-02-09,59222.95703125,59222.95703125,58287.36529299961,58942.27950977488,48035
